Object Number,Mnemonic,Classification,Artist,Alpha Sort,Title Sort,Date,Begin Date,Medium,Dimensions,Extended Medium,Credit Line
31.175,PC,Paintings,Preston Dickinson,Dickinson Preston,"Still Life, Flowers",c. 1923,1923,Oil on canvas,Overall: 29 15/16 x 20 1/8in. (76 x 51.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.176,PC,Paintings,Thomas Donnelly,Donnelly Thomas,Valhalla Station,1930,1930,Oil on linen,Overall: 16 1/8 x 24 1/16in. (41 x 61.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.177,PC,Paintings,Elsie Driggs,Driggs Elsie,Pittsburgh,-1927,1927,Oil on canvas,Overall: 34 1/4 x 40 1/4in. (87 x 102.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.178,PC,Paintings,Guy Pène Du Bois,Du Bois Guy Pène,Blonde and Brunette,-1915,1915,Oil on plywood,Overall: 20 1/16 x 15in. (51 x 38.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.179,PC,Paintings,Guy Pène Du Bois,Du Bois Guy Pène,Father and Son,1929,1929,Oil on canvas,Overall: 21 11/16 x 18 3/16in. (55.1 x 46.2 cm),,Purchase
31.181,PC,Paintings,Guy Pène Du Bois,Du Bois Guy Pène,"Jeanne Eagels in ""Rain""",1922,1922,Oil on canvas,Overall: 84 3/4 x 48in. (215.3 x 121.9 cm),,Purchase
31.182,PC,Paintings,Guy Pène Du Bois,Du Bois Guy Pène,"Morning, Paris Cafe",1926,1926,Oil on linen,Overall: 36 5/16 x 28 15/16in. (92.2 x 73.5 cm),,Purchase
31.183,PC,Paintings,Guy Pène Du Bois,Du Bois Guy Pène,Mother and Daughter,1928,1928,Oil on canvas,Overall: 21 3/4 x 18 3/16in. (55.2 x 46.2 cm),,Purchase
31.184,PC,Paintings,Guy Pène Du Bois,Du Bois Guy Pène,Opera Box,1926,1926,Oil on linen,Overall: 57 5/8 x 45 1/8in. (146.4 x 114.6 cm),,Purchase
31.185a-b,PC,Paintings,Guy Pène Du Bois,Du Bois Guy Pène,Portrait of Robert W. Chanler,n.d.,0,Oil on composition board,Overall: 20 x 15in. (50.8 x 38.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.186,PC,Paintings,Guy Pène Du Bois,Du Bois Guy Pène,Two Men,n.d.,0,Oil on wood,Overall: 20 1/16 x 15in. (51 x 38.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.187,PC,Paintings,Guy Pène Du Bois,Du Bois Guy Pène,Woman with Cigarette,1929,1929,Oil on canvas,Overall: 36 3/16 x 29 3/16in. (91.9 x 74.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.189,PC,Paintings,Louis M. Eilshemius,Eilshemius Louis M.,The Flying Dutchman,1908,1908,Oil on composition board,Overall (sight): 23 3/16 x 25 9/16in. (58.9 x 64.9 cm),,Gift of Gertrude Vanderbilt Whitney
31.193,PC,Paintings,Ernest Fiene,Fiene Ernest,Concetta,1926,1926,Oil on linen,Overall: 40 1/4 x 30 1/8in. (102.2 x 76.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.194,PC,Paintings,Ernest Fiene,Fiene Ernest,Dyckman Street Church,1925,1925,Oil on linen,Overall: 26 x 36in. (66 x 91.4 cm),,Gift of Juliana Force
31.199,PC,Paintings,Ernest Fiene,Fiene Ernest,Hudson Navigation Boat,1927,1927,Oil on composition board,Overall: 37 15/16 x 39 7/8in. (96.4 x 101.3 cm),,Gift of Gertrude Vanderbilt Whitney
31.203,PC,Paintings,Karl Free,Free Karl,"Landscape, Oyster Bay",1927,1927,Oil on canvas,Overall: 18 1/8 x 28 1/8in. (46 x 71.4 cm),,Gift of Juliana Force
31.205,PC,Paintings,Emil Ganso,Ganso Emil,Gertie,(c. 1928),1928,"Oil, graphite, and fabricated chalk on linen",Overall: 40 1/8 x 34 1/8in. (101.9 x 86.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.215,PC,Paintings,William Glackens,Glackens William,"Parade, Washington Square",-1912,1912,Oil on canvas,Overall: 26 1/8 x 31in. (66.4 x 78.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.217,PC,Paintings,Anne Goldthwaite,Goldthwaite Anne,Rebecca,(c. 1925),1925,Oil on linen,Overall: 25 9/16 x 21 1/4in. (64.9 x 54 cm),,Gift of Gertrude Vanderbilt Whitney
31.218,PC,Paintings,Anne Goldthwaite,Goldthwaite Anne,"4 Rue de Chevreuse, Paris",1908,1908,Oil on canvas,Overall: 28 13/16 x 23 3/4in. (73.2 x 60.3 cm),,Gift of Gertrude Vanderbilt Whitney
31.226,PC,Paintings,Harry Gottlieb,Gottlieb Harry,Winter at the Maverick,1923,1923,Oil on canvas,Overall: 24 1/4 x 30 3/8in. (61.6 x 77.2 cm),,Gift of Juliana Force
31.228,PC,Paintings,John D. Graham,Graham John D.,Head of a Woman,1926,1926,Oil on canvas,Overall: 21 15/16 x 18 1/8in. (55.7 x 46 cm),,Gift of Gertrude Vanderbilt Whitney
31.229,PC,Paintings,Dorothea Greenbaum,Greenbaum Dorothea,The Lighthouse,1925,1925,Oil on canvas,Overall: 30 x 30in. (76.2 x 76.2 cm),,
31.230a-b,PC,Paintings,Samuel Halpert,Halpert Samuel,Fruit,n.d.,0,Oil on canvas,Overall: 24 1/16 x 20in. (61.1 x 50.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.231,PC,Paintings,Samuel Halpert,Halpert Samuel,"Notre Dame, Paris",n.d.,0,Oil on canvas,Overall: 18 1/8 x 21 3/4in. (46 x 55.2 cm),,Purchase
31.233,PC,Paintings,Léon Hartl,Hartl Léon,Bouquet Célèste,1926,1926,Oil on linen,Overall: 22 1/8 x 18 3/16in. (56.2 x 46.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.235,PC,Paintings,Léon Hartl,Hartl Léon,Portrait de la Palotte,1925,1925,Oil on cardboard,Overall: 13 x 10 1/2in. (33 x 26.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.236,PC,Paintings,Léon Hartl,Hartl Léon,Primroses,1926,1926,Oil on linen,Overall: 32 x 22 1/4in. (81.3 x 56.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.237,PC,Paintings,Léon Hartl,Hartl Léon,Rayon de Soleil,1926,1926,Oil on canvas,Overall: 22 x 18 1/8in. (55.9 x 46 cm),,Gift of Gertrude Vanderbilt Whitney
31.239,PC,Paintings,Bertram Hartman,Hartman Bertram,Mark Island,1928,1928,Oil on canvas mounted on composition board,Overall: 20 3/16 x 30 3/16in. (51.3 x 76.7 cm),,Purchase
31.24,PC,Paintings,Robert Henri,Henri Robert,Laughing Child,-1907,1907,Oil on canvas,Overall: 23 3/4 x 20 1/4in. (60.3 x 51.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.242,PC,Paintings,Robert Henri,Henri Robert,Storm Tide,1903,1903,Oil on canvas,Overall: 26 x 32in. (66 x 81.3 cm),,Purchase
31.244,PC,Paintings,Harry Hering,Hering Harry,Idler,-1929,1929,Oil on canvas,Overall: 33 x 38in. (83.8 x 96.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.247,PC,Paintings,Isabella Howland,Howland Isabella,"Factories, Lambertville",1928,1928,Oil on canvas board,Overall: 10 1/2 x 13 1/2in. (26.7 x 34.3 cm),,Gift of Gertrude Vanderbilt Whitney
31.248,PC,Paintings,Isabella Howland,Howland Isabella,Pasture,-1929,1929,Oil on canvas,Overall: 22 x 18 3/16in. (55.9 x 46.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.249,PC,Paintings,Isabella Howland,Howland Isabella,Rodeo,-1930,1930,Oil on canvas,Overall: 20 1/4 x 25 1/8in. (51.4 x 63.8 cm),,Purchase
31.251,PC,Paintings,Morris Kantor,Kantor Morris,Laurel,1929,1929,Oil on linen,Overall: 30 1/4 x 25in. (76.8 x 63.5 cm),,Purchase
31.253,PC,Paintings,Bernard Karfiol,Karfiol Bernard,Boys and Ponies,1927,1927,Oil on linen,Overall: 36 1/8 x 27 1/4in. (91.8 x 69.2 cm),,Purchase
31.254,PC,Paintings,Bernard Karfiol,Karfiol Bernard,Hilda,-1929,1929,Oil on linen,Overall: 35 1/16 x 55 1/8in. (89.1 x 140 cm),,Purchase
31.255,PC,Paintings,Rockwell Kent,Kent Rockwell,Landscape,1921,1921,Oil on canvas,Overall: 30 x 38in. (76.2 x 96.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.256,PC,Paintings,Rockwell Kent,Kent Rockwell,"Puffin Rock, Ireland",1926-1927,1926,Oil on wood,Overall: 24 x 30in. (61 x 76.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.257,PC,Paintings,Rockwell Kent,Kent Rockwell,Shadows of Evening,1921-1923,1921,Oil on canvas,Overall: 34 1/8 x 44 1/8in. (86.7 x 112.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.258,PC,Paintings,Rockwell Kent,Kent Rockwell,The Trapper,1921,1921,Oil on canvas,Overall: 34 1/8 x 44 1/8in. (86.7 x 112.1 cm),,Purchase
31.259,PC,Paintings,Georgina Klitgaard,Klitgaard Georgina,Luther's Farm,-1929,1929,Oil on linen,Overall: 32 1/4 x 40 1/4in. (81.9 x 102.2 cm),,Purchase
31.261,PC,Paintings,Benjamin Kopman,Kopman Benjamin,Portrait of a Man,1912,1912,Oil on canvas,Overall: 30 x 26in. (76.2 x 66 cm),,Gift of Gertrude Vanderbilt Whitney
31.263,PC,Paintings,Leon Kroll,Kroll Leon,Anne,-1930,1930,Oil on linen,Overall: 18 1/8 x 15 1/8in. (46 x 38.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.264,PC,Paintings,Leon Kroll,Kroll Leon,Nude in a Blue Chair,-1930,1930,Oil on canvas,Overall: 48 3/16 x 36 1/16in. (122.4 x 91.6 cm),,Purchase
31.265,PC,Paintings,Max Kuehne,Kuehne Max,Cape San Vicente,1924,1924,Oil on canvas,Overall: 25 1/8 x 30in. (63.8 x 76.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.266,PC,Paintings,Max Kuehne,Kuehne Max,Diamond Hill,1919,1919,Oil on jute,Overall: 31 1/8 x 36 1/8in. (79.1 x 91.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.268,PC,Paintings,Max Kuehne,Kuehne Max,"Main Street, Gloucester",1929,1929,Oil on linen,Overall: 24 x 30in. (61 x 76.2 cm),,Purchase
31.27,PC,Paintings,Max Kuehne,Kuehne Max,White Roses,1922,1922,Oil on linen,Overall: 20 x 24 1/8in. (50.8 x 61.3 cm),,Purchase
31.271,PC,Paintings,Yasuo Kuniyoshi,Kuniyoshi Yasuo,Landscape,-1924,1924,Oil on linen,Overall: 20 1/4 x 30 1/8in. (51.4 x 76.5 cm),,Purchase
31.272,PC,Paintings,Yasuo Kuniyoshi,Kuniyoshi Yasuo,The Twist Loaf,1930,1930,Oil on linen,Overall: 30 1/4 x 42 1/4in. (76.8 x 107.3 cm),,Purchase
31.273,PC,Paintings,Richard Lahey,Lahey Richard,Head of Joan,-1931,1931,Oil on composition board,Overall: 23 7/8 x 19 7/8in. (60.6 x 50.5 cm),,Purchase
31.274,PC,Paintings,Sidney Laufman,Laufman Sidney,Landscape,(c. 1928-1929),1928,Oil on linen,Overall: 25 5/8 x 32in. (65.1 x 81.3 cm),,Purchase
31.275,PC,Paintings,Sidney Laufman,Laufman Sidney,The Orchard,1928,1928,Oil on linen,Overall: 23 5/8 x 36 1/4in. (60 x 92.1 cm),,Purchase
31.277,PC,Paintings,Ernest Lawson,Lawson Ernest,Fishermen,1911,1911,Oil on canvas,Overall: 25 3/16 x 30 3/16in. (64 x 76.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.28,PC,Paintings,Ernest Lawson,Lawson Ernest,Winter on the River,1907,1907,Oil on canvas,Overall: 32 13/16 x 39 15/16in. (83.3 x 101.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.283,PC,Paintings,John Ward Lockwood,Lockwood John Ward,After Spring Rains,-1929,1929,Oil on linen,Overall: 18 1/8 x 24 1/8in. (46 x 61.3 cm),,Gift of Gertrude Vanderbilt Whitney
31.285,PC,Paintings,Luigi Lucioni,Lucioni Luigi,Jo,1931,1931,Oil on linen,Overall: 20 1/8 x 18 1/8in. (51.1 x 46 cm),,Purchase
31.286,PC,Paintings,Eugene Ludins,Ludins Eugene,Landscape,1930,1930,Oil on linen,Overall: 30 1/4 x 33 1/8in. (76.8 x 84.1 cm),,Purchase
31.287,PC,Paintings,George Luks,Luks George,Rosie,1919,1919,Oil on canvas,Overall: 30 1/16 x 25 1/8in. (76.4 x 63.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.288,PC,Paintings,George Luks,Luks George,Woman with Goose,-1907,1907,Oil on composition board,Overall: 20 x 16in. (50.8 x 40.6 cm),,Gift of Gertrude Vanderbilt Whitney
31.289,PC,Paintings,George Luks,Luks George,Mrs. Gamley,-1930,1930,Oil on canvas,Overall: 66 3/8 x 48 1/2in. (168.6 x 123.2 cm),,Purchase
31.291,PC,Paintings,Reginald Marsh,Marsh Reginald,Alexander Brook,1929,1929,Oil on canvas,Overall: 24 1/4 x 20in. (61.6 x 50.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.292,PC,Paintings,Reginald Marsh,Marsh Reginald,Self-Portrait,1927,1927,Oil on linen,Overall: 24 3/16 x 20 1/8in. (61.4 x 51.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.293,PC,Paintings,Reginald Marsh,Marsh Reginald,"Why Not Use the ""L""?",1930,1930,Oil and tempera on canvas mounted on composition board,Overall: 36 1/8 x 48 1/8in. (91.8 x 122.2 cm),,Purchase
31.298,PC,Paintings,Jan Matulka,Matulka Jan,Arrangement with Phonograph,-1929,1929,Oil on canvas,Overall: 29 15/16 x 39 15/16in. (76 x 101.4 cm),,Gift of Gertrude Vanderbilt Whitney
31.299,PC,Paintings,Jan Matulka,Matulka Jan,Still Life with Lilies,c. 1926,1926,Oil on canvas,Overall: 30 1/8 x 25in. (76.5 x 63.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.3,PC,Paintings,Alfred Henry Maurer,Maurer Alfred Henry,Flowers,(c. 1912),1912,Oil on cardboard,Overall: 21 5/8 x 18in. (54.9 x 45.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.301,PC,Paintings,Henry Lee McFee,McFee Henry Lee,Crow with Peaches,1928,1928,Oil on canvas,Overall: 30 3/8 x 24 3/16in. (77.2 x 61.4 cm),,Purchase
31.302,PC,Paintings,Henry Lee McFee,McFee Henry Lee,Red Fields in Virginia,1928-1929,1928,Oil on linen,Overall: 24 1/8 x 30 3/16in. (61.3 x 76.7 cm),,Purchase
31.305,PC,Paintings,Kenneth Hayes Miller,Miller Kenneth Hayes,Shopper,1928,1928,Oil on linen,Overall: 41 1/16 x 33 3/16in. (104.3 x 84.3 cm),,Purchase
31.311,PC,Paintings,Herbert Morgan,Morgan Herbert,"Armistice Day, Place de la Mairie",-1927,1927,Oil on canvas,Overall: 36 x 36 1/8in. (91.4 x 91.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.312,PC,Paintings,David H. Morrison,Morrison David H.,Cross River,c. 1920,1915,Oil on linen,Overall: 24 1/8 x 30 1/8in. (61.3 x 76.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.313,PC,Paintings,Jerome Myers,Myers Jerome,"Summer Night, East Side Park",-1919,1919,Oil on canvas,Overall: 25 1/8 x 30in. (63.8 x 76.2 cm),,Purchase
31.315a-b,PC,Paintings,Harley Perkins,Perkins Harley,Still Life,-1926,1926,Oil on canvas,Overall: 20 1/8 x 24 1/8in. (51.1 x 61.3 cm),,Gift of Gertrude Vanderbilt Whitney
31.316,PC,Paintings,Joseph Pickett,Pickett Joseph,"Coryell's Ferry, 1776",(c. 1914-1918),1914,Oil on canvas,Overall: 37 1/2 x 48 1/4in. (95.3 x 122.6 cm),,Purchase
31.318,PC,Paintings,Joseph Pollet,Pollet Joseph,Ben's Bean-Poles,-1925,1925,Oil on linen,Overall: 40 x 30 3/16in. (101.6 x 76.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.319,PC,Paintings,Joseph Pollet,Pollet Joseph,Midsummer,-1925,1925,Oil on canvas,Overall: 40 1/8 x 60 1/4in. (101.9 x 153 cm),,Purchase
31.32,PC,Paintings,Joseph Pollet,Pollet Joseph,Neighbor Green,-1928,1928,Oil on canvas,Overall: 40 x 59 7/8in. (101.6 x 152.1 cm),,Purchase
31.321,PC,Paintings,Joseph Pollet,Pollet Joseph,Red Barn,-1927,1927,Oil on canvas,Overall: 20 x 24in. (50.8 x 61 cm),,
31.322,PC,Paintings,Maurice Prendergast,Prendergast Maurice,The Cove,-1916,1916,Oil on canvas,Overall: 28 1/8 x 39 3/4in. (71.4 x 101 cm),,Gift of Gertrude Vanderbilt Whitney
31.324,PC,Paintings,Edward Redfield,Redfield Edward,Landscape,1930,1930,Oil on canvas,Overall: 26 1/8 x 32in. (66.4 x 81.3 cm),,
31.331,PC,Paintings,Paul Rohland,Rohland Paul,Peonies,1930,1930,Oil on linen,Overall: 30 1/4 x 24 1/4in. (76.8 x 61.6 cm),,Purchase
31.334,PC,Paintings,Charles Rosen,Rosen Charles,Old Ferry Slip,1931,1931,Oil on linen,Overall: 24 x 30in. (61 x 76.2 cm),,Purchase
31.335,PC,Paintings,Katherine Schmidt,Schmidt Katherine,Laurel and Pink Flower,1930,1930,Oil on linen,Overall: 30 1/8 x 24 3/16in. (76.5 x 61.4 cm),,
31.336,PC,Paintings,Katherine Schmidt,Schmidt Katherine,The White Factory,-1928,1928,Oil on canvas,Overall: 24 1/8 x 30 1/8in. (61.3 x 76.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.337,PC,Paintings,Henry Schnakenberg,Schnakenberg Henry,"Air Plants, Porto Rico",-1927,1927,Oil on linen,Overall: 30 3/8 x 36 1/4in. (77.2 x 92.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.338,PC,Paintings,Henry Schnakenberg,Schnakenberg Henry,Conversation,-1930,1930,Oil on linen,Overall: 50 1/4 x 36 1/4in. (127.6 x 92.1 cm),,Purchase
31.341,PC,Paintings,Henry Schnakenberg,Schnakenberg Henry,Shell and Lemons,1929,1929,Oil on canvas,Overall: 20 x 24 1/8in. (50.8 x 61.3 cm),,Gift of Juliana Force
31.343,PC,Paintings,Charles Sheeler,Sheeler Charles,Geranium,(c. 1926),1926,Oil on linen,Overall: 32 1/16 x 26 1/16in. (81.4 x 66.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.344,PC,Paintings,Charles Sheeler,Sheeler Charles,Interior,1926,1926,Oil and fabricated chalk on linen,Overall: 33 1/8 x 22 1/8in. (84.1 x 56.2 cm),Oil and Conte crayon on linen,Gift of Gertrude Vanderbilt Whitney
31.346,PC,Paintings,Everett Shinn,Shinn Everett,Revue,1908,1908,Oil on canvas,Overall: 18 1/8 x 24 1/4 x 7/8in. (46 x 61.6 x 2.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.348,PC,Paintings,Simkha Simkhovitch,Simkhovitch Simkha,Merry-go-round,1930,1930,Oil on linen,Overall: 24 15/16 x 29 15/16in. (63.3 x 76 cm),,Purchase
31.349,PC,Paintings,Judson Smith,Smith Judson,Along the Hudson,1930,1930,Oil on fiberboard,Overall: 47 13/16 x 60 1/4in. (121.4 x 153 cm),,Purchase
31.35,PC,Paintings,Isaac Soyer,Soyer Isaac,Girl Embroidering,1929,1929,Oil on linen,Overall: 25 1/2 x 21 1/4in. (64.8 x 54 cm),,Purchase
31.356,PC,Paintings,Eugene Speicher,Speicher Eugene,Girl's Head,-1925,1925,Oil on canvas,Overall (sight): 20 1/4 x 16 1/4in. (51.4 x 41.3 cm),,Purchase
31.357,PC,Paintings,Eugene Speicher,Speicher Eugene,Portrait of a Girl,-1925,1925,Oil on canvas,Overall: 18 3/16 x 16 1/16in. (46.2 x 40.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.358,PC,Paintings,Eugene Speicher,Speicher Eugene,Fira Barshak,-1929,1929,Oil on linen,Overall: 64 3/8 x 42 3/8in. (163.5 x 107.6 cm),,Purchase
31.359,PC,Paintings,Eugene Speicher,Speicher Eugene,Spring Bouquet,-1925,1925,Oil on canvas,Overall: 20 1/4 x 15in. (51.4 x 38.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.361,PC,Paintings,Niles Spencer,Spencer Niles,The Green Table,1930,1930,Oil on canvas,Overall: 50 1/2 x 40 1/2in. (128.3 x 102.9 cm),,Purchase
31.363,PC,Paintings,Niles Spencer,Spencer Niles,Seventh Avenue,1927,1927,Oil on canvas,Overall: 30 1/4 x 36 5/16in. (76.8 x 92.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.366,PC,Paintings,M. A. Tricca,Tricca M. A.,Group of Houses,n.d.,0,Oil on paper,Overall: 12 7/8 x 14 1/16in. (32.7 x 35.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.367,PC,Paintings,Allen Tucker,Tucker Allen,Baker's Island,1921,1921,Oil on canvas,Overall: 25 1/8 x 34 1/8in. (63.8 x 86.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.368,PC,Paintings,Allen Tucker,Tucker Allen,Landscape,1919,1919,Oil on canvas,Overall: 25 1/16 x 30 5/16in. (63.7 x 77 cm),,Gift of Gertrude Vanderbilt Whitney
31.369,PC,Paintings,Allen Tucker,Tucker Allen,The Orange Dress,-1929,1929,Oil on linen,Overall: 72 1/4 x 25 1/8in. (183.5 x 63.8 cm),,Purchase
31.37,PC,Paintings,Dorothy Varian,Varian Dorothy,Fruit,1930,1930,Oil on linen,Overall: 26 x 32in. (66 x 81.3 cm),,
31.371,PC,Paintings,Dorothy Varian,Varian Dorothy,Plants and Artichokes,-1928,1928,Oil on linen,Overall: 20 1/8 x 22 1/8in. (51.1 x 56.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.372,PC,Paintings,Abraham Walkowitz,Walkowitz Abraham,Winter,-1915,1915,Oil on canvas board,Overall: 16 x 20 1/8in. (40.6 x 51.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.373,PC,Paintings,Franklin C. Watkins,Watkins Franklin C.,The Crucifixion,-1931,1931,Oil on canvas,Overall: 10 1/4 x 7 1/16in. (26 x 17.9 cm),,Purchase
31.374,PC,Paintings,Nan Watson,Watson Nan,Anemones,n.d.,0,Oil on canvas,Overall: 14 x 12in. (35.6 x 30.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.375,PC,Paintings,Nan Watson,Watson Nan,Flowers and Fruit,n.d.,0,Oil on linen,Overall: 10 1/8 x 12 1/8in. (25.7 x 30.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.376,PC,Paintings,Nan Watson,Watson Nan,Fruit in Blue Jar,n.d.,0,Oil on canvas,Overall: 18 3/16 x 18 1/8in. (46.2 x 46 cm),,Gift of Gertrude Vanderbilt Whitney
31.378,PC,Paintings,Nan Watson,Watson Nan,Lilies,n.d.,0,Oil on linen,Overall: 18 x 12in. (45.7 x 30.5 cm),,
31.38,PC,Paintings,Nan Watson,Watson Nan,Portrait,n.d.,0,Oil on canvas,Overall: 18 1/8 x 14 1/8in. (46 x 35.9 cm),,
31.382,PC,Paintings,Max Weber,Weber Max,Chinese Restaurant,1915,1915,"Oil, charcoal, and collaged paper on linen",Overall: 40 x 48 1/8in. (101.6 x 122.2 cm),,Purchase
31.385,PC,Paintings,Marguerite Zorach,Zorach Marguerite,Hand with Fern,(c. 1928),1928,Oil on canvas,Overall: 19 x 14 11/16in. (48.3 x 37.3 cm),,Purchase
31.386,PC,Paintings,Marguerite Zorach,Zorach Marguerite,Maine Sheriff,-1930,1930,Oil on linen,Overall: 20 1/8 x 30 1/8in. (51.1 x 76.5 cm),,Purchase
31.387,PC,Drawings,Mark Baum,Baum Mark,The Curving Road,-1929,1929,"Transparent and opaque watercolor, and graphite pencil on paper
",Sheet: 10 x 15in. (25.4 x 38.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.388,PC,Drawings,Mark Baum,Baum Mark,Southern Atmosphere,-1929,1929,Watercolor and graphite pencil on paper,Sheet: 10 x 15in. (25.4 x 38.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.389,PC,Drawings,Mark Baum,Baum Mark,Street in a Small Town,-1929,1929,Watercolor and graphite pencil on paper,Sheet: 10 x 15in. (25.4 x 38.1 cm),,Gift of Gertrude Vanderbilt Whitney
31.39,PC,Drawings,Gifford R. Beal,Beal Gifford R.,Fisherman with Nets,-1923,1923,Watercolor and graphite pencil on paper,Sheet (Irregular): 15 3/16 x 22 5/16in. (38.6 x 56.7 cm),,Gift of Gertrude Vanderbilt Whitney
31.391,PC,Drawings,Thomas Hart Benton,Benton Thomas Hart,City Building,-1930,1930,Tempera and crayon on board,Overall (sight): 15 3/8 x 19 5/16 x 1/4in. (39.1 x 49.1 x 0.6 cm),,Gift of Gertrude Vanderbilt Whitney
31.392,PC,Drawings,Thomas Hart Benton,Benton Thomas Hart,"The South, Rice Threshing",-1930,1930,Oil and graphite pencil on board,Overall (irregular): 15 1/16 x 18 x 1/4in. (38.3 x 45.7 x 0.6 cm),,Purchase
31.394,PC,Drawings,Lucile Blanch,Blanch Lucile,Circus Angels,1928,1928,"Pastel, charcoal, and pen and  ink on paper",Sheet (Irregular): 16 7/16 x 17in. (41.8 x 43.2 cm),,Gift of Gertrude Vanderbilt Whitney
31.395,PC,Drawings,Lucile Blanch,Blanch Lucile,Clowns,-1928,1928,"Charcoal, pastel, and pen and ink on paper",Sheet (Irregular): 15 1/4 x 22in. (38.7 x 55.9 cm),,Gift of Gertrude Vanderbilt Whitney
31.396,PC,Drawings,Lucile Blanch,Blanch Lucile,Dwarfs,-1928,1928,"Pastel, charcoal, and pen and ink on paper
",Sheet: 17 x 12 1/2in. (43.2 x 31.8 cm),,Gift of Gertrude Vanderbilt Whitney
31.397,PC,Drawings,Lucile Blanch,Blanch Lucile,Equestrienne,-1928,1928,"Pastel, charcoal, and pen and ink on paper",Sheet: 15 3/4 x 19 1/2in. (40 x 49.5 cm),,Gift of Gertrude Vanderbilt Whitney
31.398,PC,Drawings,Lucile Blanch,Blanch Lucile,Freaks,-1928,1928,"Pastel, charcoal, pen and ink, and graphite pencil on paper",Sheet (Irregular): 17 x 21 1/2in. (43.2 x 54.6 cm),,Purchase
31.399,PC,Drawings,Lucile Blanch,Blanch Lucile,Lady with Monkeys,-1928,1928,"Pastel, charcoal, and pen and ink on paper",Sheet (Irregular): 19 3/4 x 16 3/4in. (50.2 x 42.5 cm),,Purchase
31.4,PC,Drawings,Lucile Blanch,Blanch Lucile,Side Show,-1928,1928,"Pen and ink, pastel, and charcoal on paper",Sheet: 16 7/8 x 21 1/2in. (42.9 x 54.6 cm),,Purchase
31.401,PC,Drawings,Lucile Blanch,Blanch Lucile,Snake Charmer,-1928,1928,"Pastel, charcoal, and pen and ink on paper",Sheet (Irregular): 17 x 11 3/4in. (43.2 x 29.8 cm),,Purchase
31.402,PC,Drawings,Lucile Blanch,Blanch Lucile,Strong Man,1928,1928,"Pastel, charcoal, and pen and ink on paper",Sheet (Irregular): 21 3/4 x 17in. (55.2 x 43.2 cm),,Purchase
31.403,PC,Drawings,Lucile Blanch,Blanch Lucile,Tight Rope Walker,-1928,1928,"Pastel, charcoal, pen and ink on paper",Sheet: 21 3/4 x 16 15/16in. (55.2 x 43 cm),,Purchase
31.404,PC,Drawings,Lucile Blanch,Blanch Lucile,Tumblers,-1928,1928,"Pastel, charcoal, and pen and ink on paper",Sheet: 16 15/16 x 21 1/2in. (43 x 54.6 cm),,Purchase
